Category: All categories

Month,Art Deco: (United States)
2004-01,71
2004-02,76
2004-03,100
2004-04,69
2004-05,94
2004-06,72
2004-07,68
2004-08,66
2004-09,85
2004-10,72
2004-11,78
2004-12,78
2005-01,82
2005-02,78
2005-03,59
2005-04,73
2005-05,68
2005-06,62
2005-07,68
2005-08,68
2005-09,57
2005-10,55
2005-11,50
2005-12,72
2006-01,76
2006-02,65
2006-03,58
2006-04,58
2006-05,49
2006-06,53
2006-07,41
2006-08,45
2006-09,56
2006-10,56
2006-11,62
2006-12,49
2007-01,52
2007-02,54
2007-03,45
2007-04,56
2007-05,45
2007-06,44
2007-07,47
2007-08,51
2007-09,48
2007-10,57
2007-11,54
2007-12,48
2008-01,55
2008-02,49
2008-03,49
2008-04,47
2008-05,46
2008-06,42
2008-07,36
2008-08,42
2008-09,47
2008-10,35
2008-11,48
2008-12,32
2009-01,48
2009-02,38
2009-03,38
2009-04,40
2009-05,38
2009-06,35
2009-07,38
2009-08,38
2009-09,46
2009-10,43
2009-11,40
2009-12,39
2010-01,38
2010-02,39
2010-03,40
2010-04,38
2010-05,38
2010-06,35
2010-07,34
2010-08,32
2010-09,31
2010-10,30
2010-11,33
2010-12,30
2011-01,35
2011-02,33
2011-03,34
2011-04,38
2011-05,37
2011-06,29
2011-07,30
2011-08,32
2011-09,37
2011-10,34
2011-11,34
2011-12,34
2012-01,46
2012-02,40
2012-03,37
2012-04,35
2012-05,37
2012-06,36
2012-07,39
2012-08,38
2012-09,36
2012-10,33
2012-11,35
2012-12,39
2013-01,39
2013-02,34
2013-03,38
2013-04,41
2013-05,42
2013-06,34
2013-07,37
2013-08,35
2013-09,35
2013-10,34
2013-11,40
2013-12,36
2014-01,40
2014-02,40
2014-03,37
2014-04,36
2014-05,33
2014-06,34
2014-07,33
2014-08,33
2014-09,36
2014-10,36
2014-11,35
2014-12,36
2015-01,38
2015-02,36
2015-03,35
2015-04,37
2015-05,31
2015-06,34
2015-07,32
2015-08,34
2015-09,35
2015-10,34
2015-11,33
2015-12,33
2016-01,40
2016-02,43
2016-03,40
2016-04,42
2016-05,35
2016-06,37
2016-07,35
2016-08,33
2016-09,33
2016-10,36
2016-11,32
2016-12,35
2017-01,40
2017-02,34
2017-03,38
2017-04,36
2017-05,33
2017-06,32
2017-07,33
2017-08,36
2017-09,32
2017-10,31
2017-11,37
2017-12,33
2018-01,38
2018-02,37
2018-03,38
2018-04,32
2018-05,31
2018-06,33
2018-07,33
2018-08,33
2018-09,32
2018-10,30
2018-11,30
2018-12,32
2019-01,37
2019-02,35
2019-03,34
2019-04,32
2019-05,33
2019-06,29
2019-07,33
2019-08,32
2019-09,34
2019-10,33
2019-11,37
2019-12,37
2020-01,40
2020-02,39
2020-03,26
2020-04,28
2020-05,31
2020-06,31
2020-07,34
2020-08,35
2020-09,35
2020-10,32
2020-11,33
2020-12,35
2021-01,35
2021-02,33
2021-03,35
2021-04,31
