Category: All categories

Month,Farmhouse: (United States)
2004-01,7
2004-02,11
2004-03,9
2004-04,14
2004-05,10
2004-06,13
2004-07,14
2004-08,11
2004-09,12
2004-10,13
2004-11,11
2004-12,8
2005-01,8
2005-02,7
2005-03,10
2005-04,12
2005-05,10
2005-06,9
2005-07,12
2005-08,11
2005-09,10
2005-10,12
2005-11,8
2005-12,8
2006-01,11
2006-02,10
2006-03,12
2006-04,10
2006-05,11
2006-06,9
2006-07,9
2006-08,10
2006-09,10
2006-10,10
2006-11,8
2006-12,8
2007-01,10
2007-02,10
2007-03,10
2007-04,10
2007-05,9
2007-06,10
2007-07,10
2007-08,11
2007-09,11
2007-10,9
2007-11,9
2007-12,8
2008-01,8
2008-02,11
2008-03,9
2008-04,11
2008-05,8
2008-06,8
2008-07,10
2008-08,10
2008-09,9
2008-10,8
2008-11,8
2008-12,8
2009-01,11
2009-02,9
2009-03,9
2009-04,7
2009-05,10
2009-06,8
2009-07,12
2009-08,9
2009-09,12
2009-10,10
2009-11,10
2009-12,8
2010-01,11
2010-02,11
2010-03,11
2010-04,11
2010-05,11
2010-06,10
2010-07,10
2010-08,9
2010-09,9
2010-10,9
2010-11,9
2010-12,9
2011-01,9
2011-02,10
2011-03,10
2011-04,11
2011-05,9
2011-06,10
2011-07,10
2011-08,11
2011-09,10
2011-10,10
2011-11,9
2011-12,8
2012-01,12
2012-02,12
2012-03,11
2012-04,11
2012-05,11
2012-06,11
2012-07,13
2012-08,12
2012-09,11
2012-10,11
2012-11,11
2012-12,11
2013-01,13
2013-02,13
2013-03,13
2013-04,13
2013-05,13
2013-06,13
2013-07,14
2013-08,14
2013-09,13
2013-10,15
2013-11,14
2013-12,13
2014-01,17
2014-02,16
2014-03,14
2014-04,13
2014-05,14
2014-06,16
2014-07,18
2014-08,17
2014-09,18
2014-10,16
2014-11,15
2014-12,14
2015-01,20
2015-02,19
2015-03,19
2015-04,18
2015-05,18
2015-06,19
2015-07,21
2015-08,22
2015-09,20
2015-10,20
2015-11,19
2015-12,19
2016-01,27
2016-02,26
2016-03,26
2016-04,26
2016-05,25
2016-06,26
2016-07,30
2016-08,30
2016-09,29
2016-10,29
2016-11,30
2016-12,29
2017-01,36
2017-02,35
2017-03,37
2017-04,37
2017-05,37
2017-06,37
2017-07,45
2017-08,44
2017-09,42
2017-10,44
2017-11,50
2017-12,44
2018-01,55
2018-02,49
2018-03,53
2018-04,54
2018-05,46
2018-06,50
2018-07,57
2018-08,56
2018-09,54
2018-10,51
2018-11,56
2018-12,49
2019-01,63
2019-02,60
2019-03,61
2019-04,55
2019-05,51
2019-06,56
2019-07,59
2019-08,62
2019-09,59
2019-10,58
2019-11,64
2019-12,57
2020-01,69
2020-02,66
2020-03,57
2020-04,83
2020-05,90
2020-06,78
2020-07,84
2020-08,90
2020-09,81
2020-10,80
2020-11,83
2020-12,78
2021-01,100
2021-02,86
2021-03,88
2021-04,82
