Category: All categories

Month,Mid-century modern: (United States)
2004-01,11
2004-02,4
2004-03,7
2004-04,2
2004-05,9
2004-06,10
2004-07,7
2004-08,6
2004-09,5
2004-10,10
2004-11,9
2004-12,10
2005-01,9
2005-02,11
2005-03,17
2005-04,7
2005-05,11
2005-06,11
2005-07,9
2005-08,13
2005-09,10
2005-10,11
2005-11,8
2005-12,14
2006-01,11
2006-02,6
2006-03,6
2006-04,9
2006-05,9
2006-06,7
2006-07,15
2006-08,11
2006-09,11
2006-10,10
2006-11,14
2006-12,9
2007-01,10
2007-02,12
2007-03,11
2007-04,12
2007-05,8
2007-06,10
2007-07,13
2007-08,16
2007-09,14
2007-10,10
2007-11,8
2007-12,8
2008-01,15
2008-02,13
2008-03,15
2008-04,14
2008-05,11
2008-06,12
2008-07,16
2008-08,18
2008-09,12
2008-10,12
2008-11,11
2008-12,12
2009-01,14
2009-02,13
2009-03,14
2009-04,12
2009-05,14
2009-06,13
2009-07,15
2009-08,17
2009-09,15
2009-10,17
2009-11,14
2009-12,13
2010-01,15
2010-02,15
2010-03,17
2010-04,15
2010-05,15
2010-06,15
2010-07,18
2010-08,14
2010-09,14
2010-10,12
2010-11,14
2010-12,11
2011-01,15
2011-02,18
2011-03,17
2011-04,15
2011-05,17
2011-06,17
2011-07,17
2011-08,22
2011-09,19
2011-10,19
2011-11,22
2011-12,18
2012-01,21
2012-02,22
2012-03,22
2012-04,23
2012-05,24
2012-06,26
2012-07,25
2012-08,25
2012-09,25
2012-10,22
2012-11,24
2012-12,21
2013-01,25
2013-02,26
2013-03,26
2013-04,27
2013-05,26
2013-06,31
2013-07,33
2013-08,30
2013-09,29
2013-10,28
2013-11,27
2013-12,24
2014-01,31
2014-02,31
2014-03,32
2014-04,28
2014-05,30
2014-06,35
2014-07,36
2014-08,35
2014-09,31
2014-10,28
2014-11,30
2014-12,29
2015-01,34
2015-02,33
2015-03,36
2015-04,33
2015-05,35
2015-06,37
2015-07,39
2015-08,44
2015-09,38
2015-10,37
2015-11,38
2015-12,35
2016-01,44
2016-02,48
2016-03,44
2016-04,48
2016-05,46
2016-06,43
2016-07,49
2016-08,51
2016-09,49
2016-10,46
2016-11,50
2016-12,47
2017-01,49
2017-02,56
2017-03,55
2017-04,56
2017-05,54
2017-06,53
2017-07,62
2017-08,58
2017-09,57
2017-10,54
2017-11,58
2017-12,52
2018-01,62
2018-02,63
2018-03,63
2018-04,65
2018-05,68
2018-06,67
2018-07,68
2018-08,71
2018-09,68
2018-10,61
2018-11,63
2018-12,60
2019-01,67
2019-02,66
2019-03,66
2019-04,61
2019-05,64
2019-06,69
2019-07,73
2019-08,69
2019-09,68
2019-10,64
2019-11,64
2019-12,56
2020-01,68
2020-02,67
2020-03,55
2020-04,68
2020-05,87
2020-06,82
2020-07,93
2020-08,100
2020-09,87
2020-10,82
2020-11,86
2020-12,76
2021-01,94
2021-02,88
2021-03,85
2021-04,76
