Category: All categories

Month,Minimalism: (United States)
2004-01,14
2004-02,16
2004-03,26
2004-04,22
2004-05,21
2004-06,13
2004-07,15
2004-08,25
2004-09,13
2004-10,17
2004-11,16
2004-12,24
2005-01,13
2005-02,13
2005-03,16
2005-04,21
2005-05,20
2005-06,17
2005-07,14
2005-08,17
2005-09,16
2005-10,15
2005-11,19
2005-12,17
2006-01,17
2006-02,14
2006-03,15
2006-04,16
2006-05,25
2006-06,11
2006-07,14
2006-08,13
2006-09,13
2006-10,17
2006-11,9
2006-12,15
2007-01,15
2007-02,19
2007-03,11
2007-04,17
2007-05,18
2007-06,14
2007-07,12
2007-08,16
2007-09,22
2007-10,25
2007-11,18
2007-12,14
2008-01,14
2008-02,21
2008-03,23
2008-04,20
2008-05,22
2008-06,22
2008-07,17
2008-08,18
2008-09,17
2008-10,19
2008-11,21
2008-12,26
2009-01,24
2009-02,25
2009-03,24
2009-04,23
2009-05,23
2009-06,22
2009-07,25
2009-08,29
2009-09,23
2009-10,26
2009-11,31
2009-12,27
2010-01,33
2010-02,32
2010-03,30
2010-04,32
2010-05,39
2010-06,27
2010-07,36
2010-08,38
2010-09,38
2010-10,38
2010-11,40
2010-12,39
2011-01,36
2011-02,35
2011-03,33
2011-04,39
2011-05,34
2011-06,31
2011-07,33
2011-08,40
2011-09,35
2011-10,42
2011-11,41
2011-12,39
2012-01,38
2012-02,35
2012-03,40
2012-04,42
2012-05,46
2012-06,41
2012-07,42
2012-08,41
2012-09,42
2012-10,37
2012-11,40
2012-12,40
2013-01,45
2013-02,43
2013-03,45
2013-04,42
2013-05,47
2013-06,45
2013-07,43
2013-08,47
2013-09,44
2013-10,46
2013-11,47
2013-12,48
2014-01,50
2014-02,54
2014-03,53
2014-04,54
2014-05,57
2014-06,58
2014-07,62
2014-08,63
2014-09,56
2014-10,60
2014-11,61
2014-12,61
2015-01,63
2015-02,63
2015-03,63
2015-04,67
2015-05,65
2015-06,62
2015-07,62
2015-08,66
2015-09,64
2015-10,71
2015-11,80
2015-12,84
2016-01,66
2016-02,63
2016-03,60
2016-04,64
2016-05,67
2016-06,62
2016-07,61
2016-08,69
2016-09,67
2016-10,64
2016-11,66
2016-12,86
2017-01,93
2017-02,84
2017-03,78
2017-04,78
2017-05,76
2017-06,71
2017-07,77
2017-08,77
2017-09,71
2017-10,69
2017-11,79
2017-12,80
2018-01,77
2018-02,78
2018-03,77
2018-04,78
2018-05,76
2018-06,79
2018-07,81
2018-08,83
2018-09,80
2018-10,77
2018-11,81
2018-12,83
2019-01,82
2019-02,74
2019-03,75
2019-04,73
2019-05,72
2019-06,74
2019-07,73
2019-08,73
2019-09,74
2019-10,69
2019-11,76
2019-12,82
2020-01,83
2020-02,80
2020-03,69
2020-04,81
2020-05,86
2020-06,81
2020-07,90
2020-08,90
2020-09,91
2020-10,79
2020-11,87
2020-12,100
2021-01,100
2021-02,90
2021-03,83
2021-04,81
