Category: All categories

Month,modern design: (United States)
2004-01,72
2004-02,81
2004-03,65
2004-04,75
2004-05,68
2004-06,70
2004-07,100
2004-08,81
2004-09,81
2004-10,68
2004-11,56
2004-12,56
2005-01,70
2005-02,61
2005-03,77
2005-04,55
2005-05,53
2005-06,73
2005-07,48
2005-08,66
2005-09,71
2005-10,68
2005-11,77
2005-12,43
2006-01,66
2006-02,74
2006-03,68
2006-04,53
2006-05,48
2006-06,79
2006-07,65
2006-08,60
2006-09,75
2006-10,53
2006-11,74
2006-12,58
2007-01,68
2007-02,54
2007-03,54
2007-04,69
2007-05,45
2007-06,66
2007-07,67
2007-08,58
2007-09,55
2007-10,60
2007-11,63
2007-12,46
2008-01,55
2008-02,59
2008-03,56
2008-04,55
2008-05,52
2008-06,54
2008-07,46
2008-08,56
2008-09,65
2008-10,60
2008-11,64
2008-12,47
2009-01,53
2009-02,53
2009-03,48
2009-04,46
2009-05,50
2009-06,54
2009-07,49
2009-08,57
2009-09,68
2009-10,59
2009-11,60
2009-12,54
2010-01,54
2010-02,63
2010-03,64
2010-04,67
2010-05,56
2010-06,53
2010-07,44
2010-08,44
2010-09,44
2010-10,45
2010-11,46
2010-12,49
2011-01,57
2011-02,53
2011-03,53
2011-04,51
2011-05,51
2011-06,52
2011-07,51
2011-08,58
2011-09,57
2011-10,47
2011-11,49
2011-12,50
2012-01,57
2012-02,60
2012-03,59
2012-04,62
2012-05,59
2012-06,53
2012-07,54
2012-08,55
2012-09,56
2012-10,55
2012-11,45
2012-12,44
2013-01,55
2013-02,44
2013-03,54
2013-04,52
2013-05,45
2013-06,49
2013-07,52
2013-08,49
2013-09,50
2013-10,48
2013-11,53
2013-12,39
2014-01,50
2014-02,50
2014-03,46
2014-04,45
2014-05,50
2014-06,50
2014-07,50
2014-08,49
2014-09,63
2014-10,45
2014-11,50
2014-12,41
2015-01,48
2015-02,47
2015-03,46
2015-04,42
2015-05,43
2015-06,46
2015-07,50
2015-08,50
2015-09,52
2015-10,46
2015-11,45
2015-12,45
2016-01,53
2016-02,50
2016-03,52
2016-04,50
2016-05,49
2016-06,47
2016-07,54
2016-08,50
2016-09,44
2016-10,56
2016-11,44
2016-12,41
2017-01,51
2017-02,51
2017-03,54
2017-04,55
2017-05,50
2017-06,44
2017-07,46
2017-08,46
2017-09,42
2017-10,53
2017-11,47
2017-12,45
2018-01,52
2018-02,53
2018-03,52
2018-04,52
2018-05,47
2018-06,48
2018-07,48
2018-08,49
2018-09,47
2018-10,47
2018-11,47
2018-12,39
2019-01,52
2019-02,46
2019-03,54
2019-04,43
2019-05,47
2019-06,46
2019-07,44
2019-08,54
2019-09,48
2019-10,49
2019-11,48
2019-12,40
2020-01,47
2020-02,50
2020-03,46
2020-04,52
2020-05,62
2020-06,59
2020-07,58
2020-08,59
2020-09,55
2020-10,48
2020-11,50
2020-12,52
2021-01,51
2021-02,58
2021-03,57
2021-04,50
