Category: All categories

Month,Scandinavian design: (United States)
2004-01,71
2004-02,63
2004-03,64
2004-04,79
2004-05,88
2004-06,34
2004-07,88
2004-08,100
2004-09,88
2004-10,96
2004-11,74
2004-12,62
2005-01,53
2005-02,70
2005-03,67
2005-04,76
2005-05,67
2005-06,51
2005-07,90
2005-08,83
2005-09,30
2005-10,44
2005-11,49
2005-12,58
2006-01,52
2006-02,45
2006-03,54
2006-04,58
2006-05,47
2006-06,53
2006-07,52
2006-08,49
2006-09,46
2006-10,36
2006-11,30
2006-12,57
2007-01,71
2007-02,38
2007-03,49
2007-04,47
2007-05,44
2007-06,48
2007-07,45
2007-08,43
2007-09,52
2007-10,43
2007-11,48
2007-12,67
2008-01,66
2008-02,28
2008-03,35
2008-04,30
2008-05,30
2008-06,40
2008-07,35
2008-08,31
2008-09,40
2008-10,34
2008-11,28
2008-12,32
2009-01,33
2009-02,29
2009-03,29
2009-04,20
2009-05,32
2009-06,18
2009-07,20
2009-08,22
2009-09,21
2009-10,25
2009-11,20
2009-12,18
2010-01,28
2010-02,27
2010-03,13
2010-04,18
2010-05,19
2010-06,13
2010-07,28
2010-08,23
2010-09,14
2010-10,18
2010-11,18
2010-12,16
2011-01,19
2011-02,18
2011-03,27
2011-04,20
2011-05,20
2011-06,26
2011-07,18
2011-08,23
2011-09,21
2011-10,24
2011-11,20
2011-12,17
2012-01,23
2012-02,21
2012-03,23
2012-04,22
2012-05,15
2012-06,23
2012-07,28
2012-08,39
2012-09,34
2012-10,25
2012-11,17
2012-12,39
2013-01,49
2013-02,38
2013-03,19
2013-04,13
2013-05,36
2013-06,36
2013-07,29
2013-08,21
2013-09,28
2013-10,30
2013-11,49
2013-12,22
2014-01,20
2014-02,24
2014-03,31
2014-04,29
2014-05,18
2014-06,24
2014-07,35
2014-08,26
2014-09,38
2014-10,36
2014-11,33
2014-12,36
2015-01,33
2015-02,25
2015-03,27
2015-04,30
2015-05,27
2015-06,28
2015-07,32
2015-08,26
2015-09,22
2015-10,26
2015-11,36
2015-12,31
2016-01,37
2016-02,31
2016-03,33
2016-04,29
2016-05,41
2016-06,46
2016-07,39
2016-08,29
2016-09,33
2016-10,33
2016-11,43
2016-12,39
2017-01,37
2017-02,34
2017-03,32
2017-04,35
2017-05,31
2017-06,43
2017-07,43
2017-08,43
2017-09,32
2017-10,29
2017-11,39
2017-12,40
2018-01,32
2018-02,28
2018-03,40
2018-04,42
2018-05,33
2018-06,41
2018-07,39
2018-08,41
2018-09,40
2018-10,37
2018-11,43
2018-12,42
2019-01,41
2019-02,39
2019-03,46
2019-04,37
2019-05,44
2019-06,38
2019-07,36
2019-08,43
2019-09,39
2019-10,38
2019-11,50
2019-12,44
2020-01,44
2020-02,43
2020-03,39
2020-04,43
2020-05,52
2020-06,60
2020-07,63
2020-08,74
2020-09,59
2020-10,63
2020-11,59
2020-12,56
2021-01,59
2021-02,68
2021-03,54
2021-04,57
