Category: All categories

Month,Wabi-sabi: (United States)
2004-01,40
2004-02,13
2004-03,16
2004-04,38
2004-05,11
2004-06,23
2004-07,24
2004-08,33
2004-09,30
2004-10,21
2004-11,22
2004-12,20
2005-01,25
2005-02,45
2005-03,100
2005-04,44
2005-05,46
2005-06,40
2005-07,48
2005-08,45
2005-09,28
2005-10,52
2005-11,34
2005-12,32
2006-01,11
2006-02,35
2006-03,36
2006-04,33
2006-05,26
2006-06,38
2006-07,48
2006-08,5
2006-09,24
2006-10,39
2006-11,35
2006-12,18
2007-01,27
2007-02,37
2007-03,30
2007-04,15
2007-05,27
2007-06,15
2007-07,31
2007-08,26
2007-09,16
2007-10,32
2007-11,29
2007-12,9
2008-01,19
2008-02,28
2008-03,38
2008-04,19
2008-05,32
2008-06,31
2008-07,27
2008-08,21
2008-09,15
2008-10,23
2008-11,26
2008-12,37
2009-01,33
2009-02,35
2009-03,33
2009-04,25
2009-05,32
2009-06,23
2009-07,18
2009-08,27
2009-09,11
2009-10,18
2009-11,28
2009-12,38
2010-01,10
2010-02,33
2010-03,37
2010-04,34
2010-05,34
2010-06,29
2010-07,32
2010-08,13
2010-09,36
2010-10,33
2010-11,22
2010-12,34
2011-01,35
2011-02,37
2011-03,35
2011-04,33
2011-05,31
2011-06,34
2011-07,30
2011-08,35
2011-09,28
2011-10,31
2011-11,38
2011-12,30
2012-01,31
2012-02,33
2012-03,31
2012-04,33
2012-05,32
2012-06,26
2012-07,23
2012-08,22
2012-09,33
2012-10,20
2012-11,32
2012-12,30
2013-01,33
2013-02,35
2013-03,30
2013-04,29
2013-05,45
2013-06,26
2013-07,37
2013-08,32
2013-09,37
2013-10,25
2013-11,27
2013-12,36
2014-01,32
2014-02,28
2014-03,32
2014-04,33
2014-05,36
2014-06,23
2014-07,33
2014-08,27
2014-09,26
2014-10,34
2014-11,30
2014-12,33
2015-01,47
2015-02,24
2015-03,32
2015-04,33
2015-05,27
2015-06,47
2015-07,38
2015-08,34
2015-09,40
2015-10,36
2015-11,34
2015-12,28
2016-01,32
2016-02,33
2016-03,33
2016-04,33
2016-05,34
2016-06,36
2016-07,26
2016-08,28
2016-09,39
2016-10,28
2016-11,26
2016-12,39
2017-01,36
2017-02,43
2017-03,38
2017-04,37
2017-05,34
2017-06,31
2017-07,39
2017-08,43
2017-09,35
2017-10,28
2017-11,31
2017-12,43
2018-01,43
2018-02,50
2018-03,46
2018-04,48
2018-05,51
2018-06,36
2018-07,46
2018-08,42
2018-09,44
2018-10,40
2018-11,49
2018-12,49
2019-01,40
2019-02,46
2019-03,43
2019-04,36
2019-05,46
2019-06,77
2019-07,41
2019-08,55
2019-09,46
2019-10,39
2019-11,43
2019-12,46
2020-01,47
2020-02,48
2020-03,40
2020-04,50
2020-05,48
2020-06,53
2020-07,61
2020-08,45
2020-09,64
2020-10,59
2020-11,46
2020-12,51
2021-01,53
2021-02,48
2021-03,55
2021-04,60
